iter	MultiClass
127	0.6336791967
128	0.63234103
129	0.6305173589
130	0.6288432424
131	0.6273251155
132	0.6247168171
133	0.6228396226
134	0.6199852229
135	0.618702442
136	0.6165583574
137	0.6129618499
138	0.6109409966
139	0.608540213
140	0.6060141417
141	0.6036137622
142	0.6019986878
143	0.5988586278
144	0.5953469332
145	0.5938502987
146	0.5902157891
147	0.5877208008
148	0.5867833393
149	0.5859183521
150	0.5845696761
151	0.5827025154
152	0.5814131743
153	0.5794622618
154	0.5773444307
155	0.5758883694
156	0.5731342066
157	0.5721563151
158	0.5708450286
159	0.5695653423
160	0.5682448191
161	0.5676242881
162	0.5664032461
163	0.5656389173
164	0.5632399755
165	0.5617742097
166	0.5597429282
167	0.556768828
168	0.5542427795
169	0.5505636784
170	0.5483622008
171	0.5457296297
172	0.5440555934
173	0.5414408134
174	0.5406912198
175	0.539876991
176	0.5384171552
177	0.5359582766
178	0.5345113317
179	0.5328826657
180	0.5313442072
181	0.5291797745
182	0.5279825906
183	0.5262370758
184	0.5247805896
185	0.5230313393
186	0.5222032239
187	0.5193927709
188	0.5188043545
189	0.5177698453
190	0.5159871606
191	0.5141826924
192	0.5124671383
193	0.5114279569
194	0.5099262545
195	0.5086862039
196	0.5069215828
197	0.5050893943
198	0.5040374095
199	0.5023125632
200	0.500683347
201	0.4995051278
202	0.4985153039
203	0.4966555514
204	0.4954068102
205	0.4933212194
206	0.4912195571
207	0.4903932177
208	0.4887203602
209	0.4875464574
210	0.4867290854
211	0.4859017066
212	0.4840150513
213	0.4830237617
214	0.4821209618
215	0.4809357007
216	0.480104956
217	0.4788514347
218	0.477645908
219	0.4762824313
220	0.4742188671
221	0.4727007848
222	0.4713442023
223	0.4701860246
224	0.4677865179
225	0.4664243564
226	0.4651903278
227	0.4645765599
228	0.4632707143
229	0.4616865334
230	0.4604111678
231	0.4593136714
232	0.4580427579
233	0.4568112281
234	0.4551118896
235	0.4535949144
236	0.4516768303
237	0.4502428959
238	0.4496288674
239	0.448771772
240	0.4464464678
241	0.4454544406
242	0.4440483728
243	0.4424355699
244	0.4408540116
245	0.4392433065
246	0.4383013741
247	0.4373430276
248	0.4362626885
249	0.4336201057
250	0.4312528652
251	0.4305494061
252	0.4291446563
253	0.4275096958
254	0.4259614562
255	0.4248852052
256	0.4233222983
257	0.4225540769
258	0.4214565727
259	0.4205938731
260	0.4195919727
261	0.4185503279
262	0.4178523852
263	0.4167270785
264	0.4156390532
265	0.4143054205
266	0.4137887973
267	0.4130936286
268	0.4118032047
269	0.4100115285
270	0.4088582006
271	0.407581867
272	0.4066493119
273	0.4054456835
274	0.4044928172
275	0.4023335179
276	0.4011747315
277	0.4002898947
278	0.3993944352
279	0.3983670771
280	0.3973705223
281	0.3964356119
282	0.3953198716
283	0.3939655989
284	0.3929114644
285	0.3916254925
286	0.3901913646
287	0.3890325535
288	0.3875231537
289	0.3871220142
290	0.3860632605
291	0.3844414995
292	0.382887375
293	0.3812471023
294	0.3804052553
295	0.3790938532
296	0.3778756363
297	0.3767187393
298	0.3759867427
299	0.3746330099
300	0.3743163443
301	0.3739520451
302	0.3720709022
303	0.3709036795
304	0.3704362528
305	0.3690578808
306	0.3683751349
307	0.3676388684
308	0.3664600378
309	0.3648996544
310	0.3644115456
311	0.3636684135
312	0.3623046847
313	0.3611967878
314	0.3604515532
315	0.3592666664
316	0.3589873427
317	0.3576182952
318	0.3565513113
319	0.3558647903
320	0.3552429209
321	0.3544162485
322	0.3530820354
323	0.3514400144
324	0.3501191698
325	0.3480531068
326	0.3470971057
327	0.3464354991
328	0.3453929381
329	0.3441693726
330	0.3438040356
331	0.3430667112
332	0.3414818224
333	0.3397673649
334	0.3387787908
335	0.3378476974
336	0.3368499141
337	0.3355477373
338	0.3347259756
339	0.3332491214
340	0.3327391054
341	0.3317333331
342	0.3309392072
343	0.3294890452
344	0.3288762242
345	0.3274740469
346	0.3264558976
347	0.3253093545
348	0.3248246838
349	0.3245699308
